id	name	hiragana	created_at	updated_at
1	京都	きょうと	2026-09-12 05:13:30 UTC	2026-09-12 05:13:30 UTC
2	神戸市中央区	こうべしちゅうおうく	2026-09-12 05:14:24 UTC	2026-09-12 05:14:24 UTC
